model_0,model_dir_0,num_0,name_0,model_1,model_dir_1,num_1,name_1,win_0,win_1
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,250244,Adv3B,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,250047,ADV_vs_Random,19,20
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,250244,Adv3B,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,1000867,ADV_vs_Random,8,20
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,250244,Adv3B,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,2501982,ADV_vs_Random,11,20
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,250244,Adv3B,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,4753393,ADV_vs_Random,5,20
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,250244,Adv3B,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,250016,ADV_vs_250k,12,20
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,250244,Adv3B,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,1000902,ADV_vs_250k,12,20
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,250244,Adv3B,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,2501784,ADV_vs_250k,8,20
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,250244,Adv3B,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,4753522,ADV_vs_250k,11,20
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,250244,Adv3B,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,250101,Nature4A,20,17
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,250244,Adv3B,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,1001653,Nature4A,6,20
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,250244,Adv3B,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,2503205,Nature4A,9,20
AdvantageQN,trained_models/03_1521/Adv_B/model.weights/model,250244,Adv3B,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,4758399,Nature4A,5,20
